,Player,Passes,Matches
0,Edu Bedia,1496,20
1, Ahmed Jahouh , 1490 , 20 
2, Rowllin Borges , 1124 , 20 
3, Alberto Noguera , 1054 , 20 
4, Ivan Gonzalez , 1049 , 19 
5, Jorge Mendoza , 1011 , 21 
6, Mourtada Fall , 993 , 22 
7, Hernan Santana , 958 , 19 
8, Vicente Gomez , 934 , 19 
9, Hugo Boumous , 882 , 16 
10, Akash Mishra , 827 , 20 
11, Jacques Maghoma , 825 , 19 
12, James Donachie , 818 , 18 
13, Khassa Camara , 816 , 21 
14, Lalengmawia , 811 , 22 
15, Memo Moura , 803 , 19 
16, Carl McHugh , 792 , 21 
17, Aitor Monroy , 785 , 19 
18, Erik Paartalu , 782 , 18 
19, Raynier Fernandes , 780 , 21 
20, Scott Neville , 773 , 16 
21, Asish Rai , 771 , 18 
22, Odei Onaindia , 770 , 20 
23, Seriton  Fernandes , 755 , 19 
24, Lenny Rodrigues , 750 , 19 
25, Dimas Delgado , 741 , 13 
26, Chinglensana Singh , 741 , 18 
27, Joao Victor , 731 , 17 
28, Eli Sabia , 728 , 19 
29, Matti Steinmann , 724 , 17 
30, Pritam Kotal , 717 , 22 
31, Tiri , 709 , 21 
32, Lallianzuala Chhangte , 699 , 20 
33, Saviour Gama , 684 , 21 
34, Halicharan Narzary , 655 , 20 
35, Alexandre Lima , 646 , 19 
36, Amey Ranawade , 646 , 20 
37, Daniel Fox , 639 , 16 
38, Narayan Das , 639 , 17 
39, Federico Gallego , 637 , 16 
40, Jacob , 634 , 17 
41, Cole Alexander , 631 , 15 
42, Ricky Lallawmawma , 624 , 20 
43, Reagan Singh , 615 , 18 
44, Benjamin Lambot , 612 , 21 
45, Jerry Lalrinzuala , 609 , 19 
46, Suresh Wangjam , 602 , 19 
47, Juanan , 598 , 14 
48, Costa Nhamoinesu , 595 , 16 
49, Stephen Eze , 595 , 20 
50, Peter Hartley , 585 , 19 
51, Cy Goddard , 581 , 19 
52, Luis Machado , 581 , 22 
53, Sandesh Jhingan , 580 , 22 
54, Dylan Fox , 570 , 21 
55, Vinit Rai , 568 , 16 
56, Sunil Chhetri , 568 , 20 
57, Bipin Singh , 568 , 22 
58, David Williams , 558 , 20 
59, Gaurav Bora , 554 , 18 
60, Subhasish Bose , 553 , 20 
61, Jerry Mawihmingthanga , 551 , 17 
62, Anthony Pilkington , 551 , 17 
63, Cleiton Silva , 543 , 18 
64, Hitesh Sharma , 536 , 15 
65, Manvir Singh , 533 , 23 
66, Aridane Santana , 526 , 18 
67, Harmanjot Khabra , 522 , 16 
68, Enes Sipovic , 504 , 18 
69, Lluis Sastre , 500 , 12 
70, Bright , 495 , 12 
71, Gurjinder Kumar , 494 , 18 
72, Vignesh Dakshinamurthy , 493 , 22 
73, Roy Krishna , 491 , 23 
74, Princeton Rebello , 467 , 17 
75, Alexander Jesuraj , 462 , 21 
76, Brandon Fernandes , 460 , 12 
77, Gary Hooper , 458 , 18 
78, Facundo Pereyra , 457 , 12 
79, Adam Le Fondre , 453 , 23 
80, Diego Mauricio , 452 , 20 
81, Glan Martins , 450 , 15 
82, Sandeep Singh , 448 , 14 
83, Rahul Bheke , 444 , 15 
84, Javier Hernandez , 442 , 17 
85, Mandar Rao Dessai , 432 , 17 
86, Steven Taylor , 429 , 17 
87, Ashutosh Mehta , 426 , 18 
