,Player,Rating
0,Hugo Boumous,7.86
1, Aridane Santana , 7.85 
2, Roy Krishna , 7.79 
3, Jorge Ortiz , 7.75 
4, Mourtada Fall , 7.67 
5, Cleiton Silva , 7.65 
6, Stephen Eze , 7.53 
7, Bright Enobakhare , 7.52 
8, Matti Steinmann , 7.5 
9, Joao Victor , 7.47 
10, Ahmed Jahouh , 7.46 
11, Sunil Chhetri , 7.43 
12, Federico Gallego , 7.42 
13, Cole Alexander , 7.4 
14, Rowllin Borges , 7.36 
15, Sankar Roy , 7.36 
16, Lallianzuala Chhangte , 7.35 
17, Alberto Noguera , 7.34 
18, Arindam Bhattacharja , 7.34 
19, Asish Rai , 7.34 
20, Diego Mauricio , 7.33 
21, Akash Mishra , 7.3 
22, Amrinder Singh , 7.29 
23, Nerijus Valskis , 7.28 
24, TP Rehenesh , 7.26 
25, Scott Neville , 7.24 
26, Igor Angulo , 7.23 
27, Edu Bedia , 7.23 
28, Rafael Crivellaro , 7.21 
29, Jacques Maghoma , 7.18 
30, Bipin Singh , 7.15 
31, Halicharan Narzary , 7.15 
32, Vicente Gomez , 7.14 
33, Hernan Santana , 7.13 
34, Luis Machado , 7.11 
35, Adam Le Fondre , 7.07 
36, Sergio Cidoncha , 7.06 
37, Pritam Kotal , 7.05 
38, S Lalhrezuala , 7.05 
39, Aitor Monroy , 7.05 
40, Anthony Pilkington , 7.02 
41, Deshorn Brown , 7.01 
42, Erik Paartalu , 7 
43, David Williams , 6.99 
44, Jordan Murray , 6.97 
45, Glan Martins , 6.96 
46, Ivan Gonzalez , 6.94 
47, Lalengmawia , 6.94 
48, Yondrembem Denechandra , 6.92 
49, Manvir Singh , 6.89 
50, Gurpreet Singh Sandhu , 6.89 
51, Saviour Gama , 6.88 
52, Adil Khan , 6.87 
53, Carl McHugh , 6.86 
54, Odei Onaindia , 6.85 
55, Jerry Mawihmingthanga , 6.85 
56, Laxmikant Kattimani , 6.85 
57, Gary Hooper , 6.84 
58, Eli Sabia , 6.82 
59, Mohamed Irshad , 6.82 
60, Mirshad Michu , 6.82 
61, Sandesh Jhingan , 6.82 
62, Subhasish Bose , 6.82 
63, Juanan , 6.81 
64, Costa Nhamoinesu , 6.8 
65, Dimas Delgado , 6.8 
66, Tiri , 6.8 
67, Vishal Kaith , 6.78 
68, Facundo Pereyra , 6.78 
69, Khassa Camara , 6.78 
70, James Donachie , 6.77 
71, Jacob Tratt , 6.74 
72, Chinglensana Singh , 6.73 
73, Amey Ranawade , 6.71 
74, Edu Garcia , 6.7 
75, Benjamin Lambot , 6.7 
76, Narayan Das , 6.7 
77, Ashique Kuruniyan , 6.69 
78, Bikash Jairu , 6.69 
79, Harmanjot Khabra , 6.68 
80, Seriton  Fernandes , 6.67 
81, Sahal Abdul Samad , 6.67 
82, Memo Moura , 6.66 
83, Dheeraj Singh , 6.65 
84, Laldinliana Renthlei , 6.64 
85, Bradden Inman , 6.61 
86, Alexandre Lima , 6.6 
87, Nim Dorjee , 6.59 
88, Raju Gaikwad , 6.59 
89, Albino Gomes , 6.59 
90, Lenny Rodrigues , 6.58 
91, Peter Hartley , 6.58 
92, Ricky Lallawmawma , 6.56 
