,Player,Shots,Matches
0,Jorge Mendoza,71,21
1, Roy Krishna , 65 , 23 
2, Sunil Chhetri , 55 , 20 
3, Anthony Pilkington , 53 , 17 
4, Diego Mauricio , 52 , 20 
5, Igor Angulo , 52 , 21 
6, Jordan Murray , 51 , 19 
7, Aridane Santana , 50 , 18 
8, Luis Machado , 50 , 22 
9, Adam Le Fondre , 45 , 23 
10, Nerijus Valskis , 44 , 18 
11, Bartholomew Ogbeche , 44 , 23 
12, David Williams , 42 , 20 
13, Lallianzuala Chhangte , 38 , 20 
14, Manvir Singh , 36 , 23 
15, Halicharan Narzary , 35 , 20 
16, Federico Gallego , 34 , 16 
17, Cleiton Silva , 34 , 18 
18, Liston Colaco , 34 , 19 
19, Vicente Gomez , 34 , 19 
20, Jakub Sylvestr , 33 , 19 
21, Javier Hernandez , 32 , 17 
22, Edu Bedia , 32 , 20 
23, Marcelo Pereira , 31 , 16 
24, Idrissa Sylla , 31 , 18 
25, Rahul KP , 30 , 17 
26, Deshorn Brown , 30 , 20 
27, Sahal Abdul Samad , 29 , 14 
28, Hugo Boumous , 29 , 16 
29, Stephen Eze , 28 , 20 
30, Bipin Singh , 28 , 22 
31, Gary Hooper , 25 , 18 
32, Ahmed Jahouh , 25 , 20 
33, Erik Paartalu , 24 , 18 
34, Suhair Vadakkepeedika , 24 , 19 
35, Alberto Noguera , 23 , 20 
36, Mourtada Fall , 23 , 22 
37, Manuel Onwu , 22 , 18 
38, Mohammed Yasir , 22 , 18 
39, Memo Moura , 22 , 19 
40, Esmael Goncalves , 21 , 16 
41, Jerry Mawihmingthanga , 21 , 17 
42, Farukh Choudhary , 20 , 14 
43, Kristian Opseth , 20 , 15 
44, Mohammad Mobashir , 20 , 19 
45, Carl McHugh , 20 , 21 
46, Rafael Crivellaro , 19 , 7 
47, Jacob , 18 , 17 
48, Suresh Wangjam , 18 , 19 
49, Daniel Lalhlimpuia , 17 , 12 
50, Jacques Maghoma , 17 , 19 
51, Alexandre Lima , 17 , 19 
52, Saviour Gama , 17 , 21 
53, Bright , 16 , 12 
54, Anirudh Thapa , 16 , 14 
55, Seiminlen Doungel , 16 , 15 
56, Rahim Ali , 16 , 16 
57, Peter Hartley , 16 , 19 
58, Rowllin Borges , 16 , 20 
59, Edu Garcia , 15 , 11 
60, Joel Chianese , 15 , 12 
61, Costa Nhamoinesu , 15 , 16 
62, Joao Victor , 15 , 17 
63, Matti Steinmann , 15 , 17 
64, Jackichand Singh , 15 , 18 
65, Alexander Jesuraj , 15 , 21 
66, Lalthathanga Khawlhring , 14 , 10 
67, Reagan Singh , 14 , 18 
68, John Fitzgerald , 13 , 8 
69, Kwesi Appiah , 13 , 8 
70, Nandhakumar Sekar , 13 , 11 
71, Fatkhullo Fatkhuloev , 13 , 16 
72, Udanta Singh , 13 , 17 
73, Enes Sipovic , 13 , 18 
74, Lenny Rodrigues , 13 , 19 
75, Benjamin Lambot , 13 , 21 
76, Mohammed Rafique , 12 , 15 
77, Hernan Santana , 12 , 19 
78, Prabir Das , 12 , 20 
79, Khassa Camara , 12 , 21 
80, Raynier Fernandes , 12 , 21 
81, Lalengmawia , 12 , 22 
82, Fran Sandaza , 11 , 11 
83, Facundo Pereyra , 11 , 12 
84, Brandon Fernandes , 11 , 12 
85, Juanan , 11 , 14 
86, Edwin Vanspaul , 11 , 14 
87, Eli Sabia , 11 , 19 
88, Manuel Lanzarote , 10 , 5 
89, Ashique Kuruniyan , 10 , 8 
90, Ishan Pandita , 10 , 11 
91, Bradden Inman , 10 , 13 
92, Cole Alexander , 10 , 15 
93, Glan Martins , 10 , 15 
94, Asish Rai , 10 , 18 
95, Redeem Tlang , 9 , 10 
96, Dimas Delgado , 9 , 13 
97, Steven Taylor , 9 , 17 
98, Gurjinder Kumar , 9 , 18 
99, Ashutosh Mehta , 9 , 18 
100, James Donachie , 9 , 18 
101, Francisco Gonzalez , 9 , 18 
102, Cy Goddard , 9 , 19 
103, Akash Mishra , 9 , 20 
104, Dylan Fox , 9 , 21 
105, Rochharzela , 8 , 12 
106, Aaron Amadi-Holloway , 8 , 13 
107, Aniket Jadhav , 8 , 14 
108, Jessel Carneiro , 8 , 16 
109, Ivan Gonzalez , 8 , 19 
110, David Grande , 7 , 6 
111, Harmanpreet Singh , 7 , 7 
112, Vikram Partap Singh , 7 , 11 
113, Rohit Kumar , 7 , 11 
114, Devendra Murgaonkar , 7 , 13 
115, Shubham Sarangi , 7 , 14 
116, Bakary Kone , 7 , 14 
117, Isaac Vanmalsawma , 7 , 16 
118, Scott Neville , 7 , 16 
119, Daniel Fox , 7 , 16 
120, Princeton Rebello , 7 , 17 
121, Narayan Das , 7 , 17 
122, Gaurav Bora , 7 , 18 
123, Germanpreet Singh , 6 , 11 
124, Seityasen Singh , 6 , 12 
125, Rahul Bheke , 6 , 15 
126, Jayesh Rane , 6 , 16 
127, Harmanjot Khabra , 6 , 16 
128, Pronay Halder , 6 , 16 
129, Vinit Rai , 6 , 16 
130, Jeakson Singh , 6 , 16 
131, Subhasish Bose , 6 , 20 
132, Amey Ranawade , 6 , 20 
133, Tiri , 6 , 21 
134, Haobam Singh , 5 , 4 
135, Imran Khan , 5 , 6 
136, Souvik Chakrabarti , 5 , 7 
137, Nishu Kumar , 5 , 9 
138, Sarthak Golui , 5 , 9 
139, Leon Augustin , 5 , 9 
140, Juan de Dios , 5 , 10 
141, Parag Srivas , 5 , 11 
142, Britto PM , 5 , 11 
143, Lluis Sastre , 5 , 12 
144, Prasanth Karuthadathkuni , 5 , 13 
145, Hitesh Sharma , 5 , 15 
146, Jerry Lalrinzuala , 5 , 19 
147, Pritam Kotal , 5 , 22 
148, Pranjal Bhumij , 4 , 4 
149, Komal Thatal , 4 , 5 
150, Paul Ramfangzauva , 4 , 5 
151, Jeje Lalpekhlua , 4 , 7 
152, Roland , 4 , 8 
153, Rakesh Pradhan , 4 , 9 
154, Lalrempuia Fanai , 4 , 9 
155, Nikhil Poojary , 4 , 10 
156, William Lalnunfela , 4 , 11 
157, Mashoor Shereef , 4 , 11 
158, Ricky Lallawmawma , 4 , 20 
159, Odei Onaindia , 4 , 20 
160, Sandesh Jhingan , 4 , 22 
161, Vignesh Dakshinamurthy , 4 , 22 
162, Loken Meitei , 3 , 1 
