,Player,Shots,Matches
0,Jorge Mendoza,71,21
1, Roy Krishna , 65 , 23 
2, Sunil Chhetri , 55 , 20 
3, Anthony Pilkington , 53 , 23 
4, Diego Mauricio , 52 , 18 
5, Igor Angulo , 52 , 18 
6, Jordan Murray , 51 , 20 
7, Aridane Santana , 50 , 23 
8, Luis Machado , 50 , 18 
9, Adam Le Fondre , 45 , 19 
10, Nerijus Valskis , 44 , 22 
11, Bartholomew Ogbeche , 44 , 20 
12, David Williams , 42 , 21 
13, Lallianzuala Chhangte , 38 , 22 
14, Manvir Singh , 36 , 23 
15, Halicharan Narzary , 35 , 18 
16, Federico Gallego , 34 , 20 
17, Cleiton Silva , 34 , 11 
18, Liston Colaco , 34 , 11 
19, Vicente Gomez , 34 , 16 
20, Jakub Sylvestr , 33 , 16 
21, Javier Hernandez , 32 , 17 
22, Edu Bedia , 32 , 20 
23, Marcelo Pereira , 31 , 20 
24, Idrissa Sylla , 31 , 20 
25, Rahul KP , 30 , 22 
26, Deshorn Brown , 30 , 8 
27, Sahal Abdul Samad , 29 , 12 
28, Hugo Boumous , 29 , 12 
29, Stephen Eze , 28 , 15 
30, Bipin Singh , 28 , 16 
31, Gary Hooper , 25 , 17 
32, Ahmed Jahouh , 25 , 17 
33, Erik Paartalu , 24 , 17 
34, Suhair Vadakkepeedika , 24 , 18 
35, Alberto Noguera , 23 , 19 
36, Mourtada Fall , 23 , 19 
37, Manuel Onwu , 22 , 5 
38, Mohammed Yasir , 22 , 6 
39, Memo Moura , 22 , 13 
40, Esmael Goncalves , 21 , 14 
41, Jerry Mawihmingthanga , 21 , 14 
42, Farukh Choudhary , 20 , 16 
43, Kristian Opseth , 20 , 16 
44, Mohammad Mobashir , 20 , 16 
45, Carl McHugh , 20 , 17 
46, Rafael Crivellaro , 19 , 17 
47, Jacob , 18 , 18 
48, Suresh Wangjam , 18 , 19 
49, Daniel Lalhlimpuia , 17 , 19 
50, Jacques Maghoma , 17 , 19 
51, Alexandre Lima , 17 , 19 
52, Saviour Gama , 17 , 19 
53, Bright , 16 , 19 
54, Anirudh Thapa , 16 , 20 
55, Seiminlen Doungel , 16 , 21 
56, Rahim Ali , 16 , 2 
57, Peter Hartley , 16 , 3 
58, Rowllin Borges , 16 , 3 
59, Edu Garcia , 15 , 3 
60, Joel Chianese , 15 , 5 
61, Costa Nhamoinesu , 15 , 6 
62, Joao Victor , 15 , 7 
63, Matti Steinmann , 15 , 7 
64, Jackichand Singh , 15 , 8 
65, Alexander Jesuraj , 15 , 9 
66, Lalthathanga Khawlhring , 14 , 9 
67, Reagan Singh , 14 , 10 
68, John Fitzgerald , 13 , 10 
69, Kwesi Appiah , 13 , 11 
70, Nandhakumar Sekar , 13 , 12 
71, Fatkhullo Fatkhuloev , 13 , 13 
72, Udanta Singh , 13 , 13 
73, Enes Sipovic , 13 , 13 
74, Lenny Rodrigues , 13 , 14 
75, Benjamin Lambot , 13 , 15 
76, Mohammed Rafique , 12 , 15 
77, Hernan Santana , 12 , 15 
78, Prabir Das , 12 , 16 
79, Khassa Camara , 12 , 16 
80, Raynier Fernandes , 12 , 16 
81, Lalengmawia , 12 , 16 
82, Fran Sandaza , 11 , 17 
83, Facundo Pereyra , 11 , 17 
84, Brandon Fernandes , 11 , 18 
85, Juanan , 11 , 18 
86, Edwin Vanspaul , 11 , 19 
87, Eli Sabia , 11 , 19 
88, Manuel Lanzarote , 10 , 19 
89, Ashique Kuruniyan , 10 , 20 
90, Ishan Pandita , 10 , 21 
91, Bradden Inman , 10 , 21 
92, Cole Alexander , 10 , 22 
93, Glan Martins , 10 , 22 
94, Asish Rai , 10 , 22 
95, Redeem Tlang , 9 ,
96, Dimas Delgado , 9 ,
97, Steven Taylor , 9 ,
98, Gurjinder Kumar , 9 ,
99, Ashutosh Mehta , 9 ,
100, James Donachie , 9 ,
101, Francisco Gonzalez , 9 ,
102, Cy Goddard , 9 ,
103, Akash Mishra , 9 ,
104, Dylan Fox , 9 ,
105, Rochharzela , 8 ,
106, Aaron Amadi-Holloway , 8 ,
107, Aniket Jadhav , 8 ,
108, Jessel Carneiro , 8 ,
109, Ivan Gonzalez , 8 ,
110, David Grande , 7 ,
111, Harmanpreet Singh , 7 ,
112, Vikram Partap Singh , 7 ,
113, Rohit Kumar , 7 ,
114, Devendra Murgaonkar , 7 ,
115, Shubham Sarangi , 7 ,
116, Bakary Kone , 7 ,
117, Isaac Vanmalsawma , 7 ,
118, Scott Neville , 7 ,
119, Daniel Fox , 7 ,
120, Princeton Rebello , 7 ,
121, Narayan Das , 7 ,
122, Gaurav Bora , 7 ,
123, Germanpreet Singh , 6 ,
124, Seityasen Singh , 6 ,
125, Rahul Bheke , 6 ,
126, Jayesh Rane , 6 ,
127, Harmanjot Khabra , 6 ,
128, Pronay Halder , 6 ,
129, Vinit Rai , 6 ,
130, Jeakson Singh , 6 ,
131, Subhasish Bose , 6 ,
132, Amey Ranawade , 6 ,
133, Tiri , 6 ,
134, Haobam Singh , 5 ,
135, Imran Khan , 5 ,
136, Souvik Chakrabarti , 5 ,
137, Nishu Kumar , 5 ,
138, Sarthak Golui , 5 ,
139, Leon Augustin , 5 ,
140, Juan de Dios , 5 ,
141, Parag Srivas , 5 ,
142, Britto PM , 5 ,
143, Lluis Sastre , 5 ,
144, Prasanth Karuthadathkuni , 5 ,
145, Hitesh Sharma , 5 ,
146, Jerry Lalrinzuala , 5 ,
147, Pritam Kotal , 5 ,
148, Pranjal Bhumij , 4 ,
149, Komal Thatal , 4 ,
150, Paul Ramfangzauva , 4 ,
151, Jeje Lalpekhlua , 4 ,
152, Roland , 4 ,
153, Rakesh Pradhan , 4 ,
154, Lalrempuia Fanai , 4 ,
155, Nikhil Poojary , 4 ,
156, William Lalnunfela , 4 ,
157, Mashoor Shereef , 4 ,
158, Ricky Lallawmawma , 4 ,
159, Odei Onaindia , 4 ,
160, Sandesh Jhingan , 4 ,
161, Vignesh Dakshinamurthy , 4 ,
162, Loken Meitei , 3 ,
163, Balwant Singh , 3 ,
164, Rohit Danu , 3 ,
165, Xisco Hernandez , 3 ,
166, Yondrembem Denechandra , 3 ,
167, Nim Dorjee , 3 ,
168, Sahil Sheikh , 3 ,
169, Wahengbam Luwang , 3 ,
170, Ankit Mukherjee , 3 ,
